school_id,sanction,offense
46,cover offending items,Any
50,cover offending items,Any
55,cover offending items,Any
56,cover offending items,Any
63,cover offending items,Any
82,cover offending items,Any
98,cover offending items,Any
109,cover offending items,Any
123,cover offending items,Any
132,cover offending items,Any
144,cover offending items,Any
152,cover offending items,Any
161,cover offending items,Any
162,cover offending items,4th
165,cover offending items,Any
169,cover offending items,Any
173,cover offending items,1st
175,cover offending items,Any
190,cover offending items,Any
192,cover offending items,Any
208,cover offending items,Any
239,cover offending items,Any
242,cover offending items,Any
251,cover offending items,Any
252,cover offending items,Any
259,cover offending items,Any
262,cover offending items,Any
265,cover offending items,Any
281,cover offending items,Any
287,cover offending items,Any
290,cover offending items,Any
301,cover offending items,Any
305,cover offending items,1st
312,cover offending items,1st
316,cover offending items,Any
317,cover offending items,Any
324,cover offending items,1st
328,cover offending items,Any
341,cover offending items,1st
344,cover offending items,Any
345,cover offending items,1st
345,cover offending items,2nd
366,cover offending items,Any
374,cover offending items,Any
375,cover offending items,Any
388,cover offending items,Any
401,cover offending items,Any
403,cover offending items,Any
404,cover offending items,Any
457,cover offending items,Any
445,cover offending items,1st
445,cover offending items,2nd
444,cover offending items,Any
443,cover offending items,Any
420,cover offending items,Any
418,cover offending items,Any
14,detention,Any
23,detention,2nd
24,detention,2nd
27,detention,1st
27,detention,2nd
30,detention,2nd
39,detention,2nd
57,detention,2nd
57,detention,3rd
62,detention,Any
86,detention,1st
100,detention,2nd
110,detention,Any
119,detention,2nd
119,detention,3rd
119,detention,4th
127,detention,2nd
147,detention,2nd
163,detention,4th
166,detention,2nd
168,detention,Any
173,detention,2nd
187,detention,Any
194,detention,Any
203,detention,Any
205,detention,Any
213,detention,Any
269,detention,Any
278,detention,Any
282,detention,2nd
284,detention,3rd
284,detention,4th
284,detention,5th
289,detention,Any
290,detention,Any
311,detention,2nd
311,detention,3rd
333,detention,2nd
337,detention,Any
473,detention,Any
345,detention,1st
345,detention,2nd
345,detention,2nd
369,detention,Any
383,detention,2nd
383,detention,3rd
393,detention,2nd
467,detention,Any
462,detention,2nd
460,detention,2nd
458,detention,2nd
458,detention,3rd
453,detention,Any
435,detention,2nd
435,detention,3rd
0,in school suspension  ISS,Any
1,in school suspension  ISS,Any
9,in school suspension  ISS,Any
12,in school suspension  ISS,Any
16,in school suspension  ISS,Any
17,in school suspension  ISS,Any
18,in school suspension  ISS,Any
23,in school suspension  ISS,3rd
24,in school suspension  ISS,3rd
27,in school suspension  ISS,1st
27,in school suspension  ISS,2nd
27,in school suspension  ISS,3rd
27,in school suspension  ISS,4th
36,in school suspension  ISS,3rd
36,in school suspension  ISS,4th
37,in school suspension  ISS,1st
38,in school suspension  ISS,Any
39,in school suspension  ISS,1st
39,in school suspension  ISS,2nd
42,in school suspension  ISS,Any
44,in school suspension  ISS,2nd
50,in school suspension  ISS,Any
56,in school suspension  ISS,Any
63,in school suspension  ISS,Any
69,in school suspension  ISS,Any
76,in school suspension  ISS,4th
81,in school suspension  ISS,2nd
81,in school suspension  ISS,3rd
82,in school suspension  ISS,2nd
84,in school suspension  ISS,Any
88,in school suspension  ISS,3rd
89,in school suspension  ISS,Any
90,in school suspension  ISS,Any
97,in school suspension  ISS,3rd
98,in school suspension  ISS,Any
99,in school suspension  ISS,3rd
102,in school suspension  ISS,Any
112,in school suspension  ISS,Any
113,in school suspension  ISS,Any
117,in school suspension  ISS,Any
123,in school suspension  ISS,Any
126,in school suspension  ISS,Any
127,in school suspension  ISS,2nd
127,in school suspension  ISS,3rd
140,in school suspension  ISS,Any
