school_id,school,state,students,municipality_type,municipality_size
92,AMITY REGIONAL HIGH SCHOOL,CT,1486,Suburb,Large
93,CORNWALL CENTRAL HIGH SCHOOL,NY,1082,Rural,Fringe
94,CENTRAL HIGH SCHOOL,IA,516,Rural,Fringe
95,WASHINGTON HIGH,MO,1343,Town,Distant
96,RANCHO BUENA VISTA HIGH,CA,2417,Suburb,Large
97,FREEPORT AREA SHS,PA,599,Rural,Fringe
98,LEVERETTS CHAPEL H S,TX,61,Rural,Distant
99,WEST STOKES HIGH,NC,932,Rural,Fringe
100,NANTUCKET HIGH,MA,513,Town,Distant
101,NORTH CARROLL HIGH,MD,700,Suburb,Large
102,MIDLAND H S,TX,2149,City,Mid-size
103,SPENCER HIGH SCHOOL,IA,605,Town,Remote
104,PELLA HIGH SCHOOL,IA,677,Town,Distant
105,MCGREGOR H S,TX,414,Town,Fringe
106,WESTHILL HIGH SCHOOL,CT,2096,City,Mid-size
107,QUINCY HIGH,MA,1465,Suburb,Large
108,CURRITUCK COUNTY HIGH,NC,1030,Rural,Distant
109,NEVADA HIGH SCHOOL,IA,462,Town,Fringe
110,ADM SENIOR HIGH SCHOOL,IA,479,Town,Fringe
111,WAUSAUKEE HIGH,WI,163,Rural,Remote
112,PLEASANT GROVE H S,TX,658,City,Small
113,BASTROP H S,TX,1348,Town,Distant
114,TGU-GRANVILLE HIGH SCHOOL,ND,35,Rural,Remote
115,MARINETTE HIGH,WI,644,Town,Distant
116,PORTSMOUTH HIGH SCHOOL,NH,1108,Suburb,Small
117,BORGER H S,TX,777,Town,Distant
118,CABOOL HIGH,MO,236,Rural,Distant
119,SYMMES VALLEY HIGH SCHOOL,OH,202,Rural,Distant
120,WELDON VALLEY HIGH SCHOOL,CO,70,Rural,Distant
121,SHADOW HILLS HIGH,CA,2006,Rural,Fringe
122,LAINGSBURG HIGH SCHOOL,MI,377,Rural,Distant
123,COLUMBIA HIGH SCHOOL,NY,1239,Rural,Fringe
124,TWIN VALLEY HIGH SCHOOL,VT,139,Rural,Distant
125,SHAWANO HIGH,WI,804,Town,Distant
126,HALLSVILLE H S,TX,1434,Rural,Fringe
127,LAUREL HIGH SCHOOL,MT,661,Town,Fringe
128,G.F.W. HIGH SCHOOL,MN,251,Rural,Remote
129,WAYZATA HIGH,MN,3237,City,Small
130,HART HIGH SCHOOL,MI,387,Town,Distant
131,DOVER HS,OK,51,Rural,Distant
132,SCOTIA-GLENVILLE SENIOR HIGH SCHOOL,NY,792,Suburb,Large
133,POWDER RIVER CO DIST HIGH,MT,98,Rural,Remote
134,PLYMOUTH-WHITEMARSH SHS,PA,1465,Suburb,Large
135,CENTRAL HIGH SCHOOL,GA,1162,Town,Fringe
136,JERICHO SENIOR HIGH SCHOOL,NY,1110,Suburb,Large
137,SALIDA HIGH SCHOOL,CO,325,Town,Remote
138,THOMAS JEFFERSON HIGH SCHOOL,CO,1069,City,Large
139,SHERIDAN HIGH SCHOOL,WY,973,Town,Remote
140,NELSON COUNTY HIGH,VA,643,Rural,Distant
141,CREEKVIEW H S,TX,1974,Suburb,Large
142,HUDSON HIGH,WI,1793,Town,Fringe
143,MORENCI HIGH SCHOOL,AZ,397,Town,Remote
144,WEST SENECA EAST SENIOR HIGH SCHOOL,NY,955,Suburb,Large
145,WESTON RANCH HIGH,CA,1232,City,Large
146,NEX GEN ACADEMY,NM,307,City,Large
147,LANDER VALLEY HIGH SCHOOL,WY,439,Town,Remote
148,SKIATOOK HS,OK,750,Town,Fringe
149,HORLICK HIGH,WI,1848,City,Small
150,WEST DELAWARE HIGH SCHOOL,IA,468,Town,Distant
151,EAST COWETA HIGH SCHOOL,GA,2882,Suburb,Large
152,NISKAYUNA HIGH SCHOOL,NY,1392,Suburb,Large
153,EMPORIA HIGH,KS,1460,Town,Remote
154,NEWPORT MIDDLE HIGH SCHOOL (HIGH),NH,338,Rural,Fringe
155,SOUTH CENTRAL CALHOUN HIGH SCHOOL,IA,305,Rural,Remote
156,JACKSON HOLE HIGH SCHOOL,WY,638,Rural,Fringe
157,IRAAN H S,TX,128,Rural,Remote
158,HORIZON HIGH SCHOOL,AZ,2242,City,Large
159,LINCOLN SENIOR HIGH SCHOOL,MI,1157,Rural,Fringe
160,TURPIN HS,OK,123,Rural,Remote
161,BELLPORT SENIOR HIGH SCHOOL,NY,1325,Suburb,Large
162,PLATTE CANYON HIGH SCHOOL,CO,317,Rural,Remote
163,ROSEMONT HIGH,CA,1355,Suburb,Large
164,BOWLEGS HS,OK,81,Rural,Distant
165,SPENCERPORT HIGH SCHOOL,NY,1209,Suburb,Large
166,PIEDMONT HS,OK,936,Rural,Fringe
167,RIVERDALE HIGH SCHOOL,FL,2058,Rural,Fringe
168,PITTSFIELD HIGH SCHOOL,NH,158,Rural,Distant
169,WEST ISLIP SENIOR HIGH SCHOOL,NY,1515,Suburb,Large
170,KENYON-WANAMINGO SENIOR HIGH,MN,262,Rural,Remote
171,CRATER ACADEMY OF HEALTH AND PUBLIC SERVICES,OR,467,Suburb,Mid-size
172,GRAND LEDGE HIGH SCHOOL,MI,1710,Suburb,Large
173,DAVID PROUTY HIGH,MA,396,Suburb,Large
174,TARKINGTON H S,TX,526,Rural,Distant
175,SOUTH GLENS FALLS SENIOR HIGH SCHOOL,NY,996,Suburb,Small
176,AFFTON HIGH,MO,773,Suburb,Large
177,AZLE H S,TX,1761,Suburb,Large
178,LURAY HIGH,VA,514,Town,Distant
179,LEBANON SR. HIGH,MO,1463,Town,Remote
180,HIGLEY HIGH SCHOOL,AZ,1670,Suburb,Large
181,APPOQUINIMINK HIGH SCHOOL,DE,1589,Rural,Fringe
182,QUANAH H S,TX,151,Rural,Remote
183,RHAM HIGH SCHOOL,CT,1023,Rural,Fringe
184,LYNNVILLE-SULLY HIGH SCHOOL,IA,146,Rural,Remote
185,GRANDVIEW SR. HIGH,MO,1230,Suburb,Large
186,FONTANA HIGH,CA,2509,Suburb,Large
187,WHITMAN HANSON REGIONAL,MA,1191,Suburb,Large
188,HARLOWTON HIGH SCHOOL,MT,71,Rural,Remote
189,OAK CREEK HIGH,WI,2088,Suburb,Large
190,MARATHON HIGH,WI,237,Rural,Fringe
191,AKRON EARLY COLLEGE HIGH SCHOOL,OH,343,City,Mid-size
192,BONNEY LAKE HIGH SCHOOL,WA,1335,Suburb,Large
193,ROGERS H S,TX,300,Rural,Distant
194,ATHENS HIGH,WI,191,Rural,Distant
195,EXCELSIOR SPRINGS HIGH,MO,791,Town,Fringe
196,BYRON NELSON H S,TX,2557,Rural,Fringe
197,CELINA H S,TX,697,Rural,Fringe
198,FRONTENAC SR. HIGH SCHOOL,KS,268,Town,Distant
199,QUEEN CITY H S,TX,299,Town,Distant
200,MACON SR. HIGH,MO,427,Town,Remote
201,UNION HIGH SCHOOL,IA,391,Rural,Distant
202,SEDRO WOOLLEY SENIOR HIGH SCHOOL,WA,1207,Suburb,Small
203,ATASCADERO HIGH,CA,1331,Suburb,Small
204,AGWSR HIGH SCHOOL,IA,157,Rural,Distant
205,KEYSTONE HIGH SCHOOL,OH,468,Rural,Fringe
206,CUBA HIGH,MO,417,Town,Remote
207,ONTARIO HIGH SCHOOL,OR,693,Town,Distant
208,GOSHEN CENTRAL HIGH SCHOOL,NY,966,Rural,Fringe
209,BATESVILLE HIGH SCHOOL,AR,626,Rural,Fringe
210,ALAMO HEIGHTS H S,TX,1553,Suburb,Large
211,RANCHO VERDE HIGH,CA,3303,Suburb,Large
212,SOUTH SENIOR HIGH,MN,1847,City,Large
213,SINTON H S,TX,639,Town,Distant
214,LOMPOC HIGH,CA,1398,Suburb,Small
215,EASTERN HIGH SCHOOL,MI,809,Rural,Fringe
216,SHELBY CO HIGH SCH,AL,629,Town,Fringe
217,CALHOUN HIGH SCHOOL,GA,1084,Town,Distant
218,ALONSO HIGH SCHOOL,FL,2698,Suburb,Large
219,MIRA MESA HIGH,CA,2426,City,Large
220,INDEPENDENCE HIGH SCHOOL,MS,404,Rural,Distant
221,SOMERSET HIGH,WI,488,Town,Fringe
222,BLUE RIDGE H S,TX,195,Rural,Distant
223,KALKASKA HIGH SCHOOL,MI,473,Town,Remote
224,LA JOLLA HIGH,CA,1581,City,Large
225,WEST GRAND HIGH SCHOOL,CO,132,Rural,Remote
226,PARK HILL HIGH,MO,1877,City,Large
227,NORTH HS,OK,2644,Suburb,Large
228,THUNDER RIDGE HIGH SCHOOL,KS,69,Rural,Remote
229,CALERA HIGH SCH,AL,745,Rural,Fringe
230,PEKIN COMMUNITY HIGH SCHOOL,IA,205,Rural,Remote
231,BRINDLEE MT HIGH SCH,AL,358,Rural,Fringe
232,WESTON HIGH,MA,726,Suburb,Large
233,SOROCO HIGH SCHOOL,CO,101,Rural,Remote
234,WACONIA SENIOR HIGH,MN,1156,Town,Fringe
235,SAN JON HIGH,NM,28,Rural,Remote
236,JOSEPH CASE HIGH,MA,511,Suburb,Large
237,WHARTON H S,TX,587,Town,Distant
238,LEAVENWORTH SR HIGH,KS,1315,Town,Fringe
239,ILLINOIS VALLEY HIGH SCHOOL,OR,356,Rural,Distant
240,GRIFFIN HIGH SCHOOL,GA,1395,Suburb,Large
241,COLCHESTER HIGH SCHOOL,VT,731,Rural,Fringe
242,WEST HEMPSTEAD HIGH SCHOOL,NY,765,Suburb,Large
243,MONTE VISTA HIGH,CA,2348,Suburb,Large
244,CENTURY HIGH,MD,1094,Rural,Fringe
245,OLTON H S,TX,173,Rural,Remote
246,LITTLE MIAMI HIGH SCHOOL,OH,1112,Suburb,Large
247,JEFFERSON HIGH,WI,658,Town,Distant
248,CEDAR GROVE-BELGIUM HIGH,WI,355,Rural,Distant
249,HOMINY HS,OK,163,Town,Distant
250,GLEN ROSE H S,TX,508,Rural,Distant
251,MONROE-WOODBURY HIGH SCHOOL,NY,2332,Suburb,Large
252,LOVELL HIGH SCHOOL,WY,211,Rural,Remote
253,SAUK PRAIRIE HIGH,WI,822,Town,Distant
254,BARABOO HIGH,WI,992,Town,Distant
255,DEXTER HIGH,MO,633,Town,Remote
256,PERRY CENTRAL HIGH SCHOOL,MS,315,Rural,Distant
257,KETCHUM HS,OK,202,Rural,Remote
258,LEOMINSTER HIGH SCHOOL,MA,1771,Suburb,Mid-size
259,MADRAS HIGH SCHOOL,OR,821,Town,Distant
260,CHRISTIANSBURG HIGH,VA,1082,City,Small
261,LEBANON HIGH SCHOOL,OR,1264,Town,Fringe
262,MILLER PLACE HIGH SCHOOL,NY,900,Suburb,Large
263,LEHIGH SENIOR HIGH SCHOOL,FL,1810,Suburb,Large
264,SUTTON HIGH SCHOOL,MA,440,Rural,Fringe
265,SPAULDING UHSD #41,VT,661,Town,Distant
266,TIPTON HIGH SCHOOL,IA,271,Town,Distant
267,BIG PINEY HIGH SCHOOL,WY,192,Rural,Remote
268,IRONDEQUOIT HIGH SCHOOL,NY,1209,Suburb,Large
269,CLEARWATER HIGH,MO,311,Rural,Remote
270,HILLDALE HS,OK,525,Town,Distant
271,ALVARADO H S,TX,1046,Town,Fringe
272,SAYRE HS,OK,197,Town,Remote
273,CHASE HIGH,KS,59,Rural,Distant
274,PLAINWELL HIGH SCHOOL,MI,799,Town,Fringe
275,CIMARRON HS,OK,71,Rural,Distant
276,CENTRALIA HIGH,MO,405,Town,Distant
277,GUYMON HS,OK,848,Town,Remote
278,HAMILTON HIGH SCHOOL,AZ,3840,Suburb,Large
279,BATTLE CREEK-IDA GROVE SENIOR HIGH SCHOOL,IA,238,Rural,Remote
280,PALACIOS H S,TX,439,Rural,Fringe
281,LYONS SENIOR HIGH SCHOOL,NY,254,Town,Distant
282,PENTUCKET REGIONAL SR HIGH,MA,707,Suburb,Large
283,GRANTSBURG HIGH,WI,258,Rural,Remote
284,UNIONVILLE-SEBEWAING HIGH SCHOOL,MI,261,Rural,Distant
285,DANVERS HIGH,MA,1020,Suburb,Large
286,IGNACIO HIGH SCHOOL,CO,249,Rural,Distant
287,BINGHAMTON HIGH SCHOOL,NY,1649,City,Small
288,GEORGE MASON HIGH,VA,786,Suburb,Large
289,OMRO HIGH,WI,401,Rural,Fringe
290,NASHOBA REGIONAL,MA,1065,Rural,Fringe
291,PIERCE COUNTY HIGH SCHOOL,GA,1068,Rural,Fringe
292,SOUTH ALBANY HIGH SCHOOL,OR,1352,City,Small
293,CONNALLY HIGH SCHOOL,TX,661,Suburb,Mid-size
294,MIDDLE CREEK HIGH,NC,2283,Suburb,Large
295,MOUNTAIN VIEW HIGH SCHOOL,WY,238,Rural,Remote
296,FONTANA A. B. MILLER HIGH,CA,2355,Suburb,Large
297,TEXAS H S,TX,1824,City,Small
298,MOORE HS,OK,2463,Suburb,Large
299,CHANHASSEN HIGH SCHOOL,MN,1678,Suburb,Large
300,CLEAR BROOK H S,TX,2220,Suburb,Large
301,SLEEPY HOLLOW HIGH SCHOOL,NY,853,Suburb,Large
302,DOUGLAS HIGH SCHOOL,MA,403,Suburb,Large
303,WALPOLE HIGH,MA,1172,Suburb,Large
304,MEMORIAL HS,OK,2155,Suburb,Large
305,EAST HAMPTON HIGH SCHOOL,NY,878,Rural,Fringe
306,WARRENTON HIGH SCHOOL,OR,265,Rural,Fringe
307,IRVINE HIGH,CA,2031,City,Mid-size
308,HILLIARD BRADLEY HIGH SCHOOL,OH,1611,Rural,Fringe
309,APS ONLINE SCHOOL,CO,143,City,Large
310,MEDFORD HIGH,MA,1195,Suburb,Large
311,SENIOR HS,OK,145,Rural,Remote
312,ONTEORA HIGH SCHOOL,NY,417,Rural,Distant
313,MONROE CITY R-I HIGH,MO,244,Rural,Remote
314,TEMPLE H S,TX,1946,City,Small
315,RIPLEY HIGH SCHOOL,MS,509,Town,Remote
316,HAVERLING SENIOR HIGH SCHOOL,NY,469,Town,Distant
317,WHITE RIVER HIGH SCHOOL,WA,1203,Suburb,Large
318,NEWTON SENIOR HIGH SCHOOL,IA,819,Town,Distant
319,ASTORIA SENIOR HIGH SCHOOL,OR,595,Town,Remote
320,CARTER COUNTY HIGH SCHOOL,MT,34,Rural,Remote
321,HOBBS HIGH,NM,1791,Town,Remote
322,HIAWATHA SR HIGH,KS,245,Town,Distant
323,PITTSFIELD HIGH,MA,896,City,Small
324,HUNTINGTON HIGH SCHOOL,NY,1397,Suburb,Large
325,SOCIAL CIRCLE HIGH SCHOOL,GA,525,Town,Fringe
326,LOMIRA HIGH,WI,365,Rural,Distant
327,EAST HAVEN HIGH SCHOOL,CT,889,Suburb,Large
328,SARATOGA SPRINGS HIGH SCHOOL,NY,2168,Suburb,Small
329,SKYVIEW HIGH SCHOOL,WA,2009,Suburb,Large
330,KELSO HIGH SCHOOL,WA,1578,Suburb,Small
331,CHIRENO H S,TX,105,Rural,Remote
332,EDISON SENIOR HIGH,MN,876,City,Large
333,RUSSELL HIGH,KS,236,Town,Remote
334,NETTLETON HIGH SCHOOL,MS,391,Rural,Distant
335,SALLISAW HS,OK,630,Town,Distant
336,LAKER HIGH SCHOOL,MI,269,Rural,Remote
337,GRAND RAPIDS SENIOR HIGH,MN,1160,Rural,Fringe
338,PLYMOUTH HIGH,WI,794,Town,Fringe
339,BROADVIEW HIGH SCHOOL,MT,46,Rural,Distant
340,ASHER HS,OK,71,Rural,Remote
341,LODI HIGH,WI,508,Town,Fringe
342,BLACK HAWK HIGH,WI,115,Rural,Remote
343,MORRISON HS,OK,150,Rural,Distant
344,OKAY HS,OK,125,Rural,Distant
345,CALIFORNIA HIGH,MO,415,Town,Distant
346,ALISO NIGUEL HIGH,CA,3068,Suburb,Large
347,ANDREWS H S,TX,1017,Town,Distant
348,BUFFALO HIGH SCHOOL,WY,322,Rural,Fringe
349,RUTLAND SENIOR HIGH SCHOOL,VT,853,Town,Distant
350,TAFT UNION HIGH,CA,980,Town,Distant
351,GRAHAM HS,OK,64,Rural,Distant
352,FRANKLIN HIGH,MA,1729,Suburb,Large
353,SWEETWATER H S,TX,503,Town,Distant
354,GEORGE WASHINGTON HIGH SCHOOL,IA,1366,City,Mid-size
355,GLEN ULLIN HIGH SCHOOL,ND,56,Rural,Remote
356,TONASKET HIGH SCHOOL,WA,308,Rural,Remote
357,QUARTZ HILL HIGH,CA,3063,Suburb,Large
358,WRAY HIGH SCHOOL,CO,162,Rural,Remote
359,PONCA CITY HS,OK,1476,Town,Remote
360,HILTON HIGH SCHOOL,NY,1428,Suburb,Large
361,NORTH DOUGLAS HIGH SCHOOL,OR,85,Rural,Remote
362,EAST SAC COUNTY HIGH SCHOOL,IA,294,Rural,Remote
363,COLBY SENIOR HIGH,KS,297,Town,Remote
364,SCOTTS VALLEY HIGH,CA,841,Suburb,Mid-size
365,AUBURN SENIOR HIGH,MA,769,Suburb,Large
366,AUBURN HIGH,VA,417,Rural,Fringe
367,HICKORY RIDGE HIGH,NC,1669,Suburb,Mid-size
368,DEWITT HIGH SCHOOL,AR,393,Rural,Fringe
369,MARION L STEELE HIGH SCHOOL,OH,1249,Suburb,Mid-size
370,CAMERON HIGH,MO,548,Town,Distant
371,BAY SHORE SENIOR HIGH SCHOOL,NY,1892,Suburb,Large
372,SAINT HELENA HIGH,CA,475,Town,Fringe
373,REEDS SPRING HIGH,MO,621,Rural,Distant
374,CONNETQUOT HIGH SCHOOL,NY,2044,Suburb,Large
375,RONDOUT VALLEY HIGH SCHOOL,NY,618,Rural,Distant
376,PORUM HS,OK,140,Rural,Distant
377,BONDUEL HIGH,WI,304,Rural,Distant
378,FARMINGTON HIGH,NM,1376,City,Small
379,MOUNT PLEASANT HIGH,NC,849,Rural,Fringe
380,FOUNTAIN HILLS HIGH SCHOOL,AZ,557,Suburb,Large
381,POTTSTOWN SHS,PA,819,Suburb,Mid-size
382,MENCHVILLE HIGH,VA,1578,City,Mid-size
383,WHEELER HIGH SCHOOL,CT,189,Rural,Fringe
384,MARSHALLTOWN HIGH SCHOOL,IA,1408,Town,Distant
385,WEST PLAINS SR. HIGH,MO,1091,Rural,Fringe
386,MERRILL HIGH,WI,855,Town,Distant
387,NORTHWEST CABARRUS HIGH,NC,1202,Suburb,Mid-size
388,ELKHORN AREA HIGH,WI,894,Town,Distant
389,ALMONT HIGH SCHOOL,MI,500,Rural,Fringe
390,BOURNE HIGH SCHOOL,MA,450,Suburb,Mid-size
391,EASTERN YORK HS,PA,671,Rural,Fringe
392,WASHINGTON HS,OK,271,Rural,Distant
393,NORWOOD HIGH,MA,967,Suburb,Large
394,WASHBURN RURAL HIGH,KS,1879,Rural,Fringe
395,TALIHINA HS,OK,202,Rural,Remote
396,LAMPHERE HIGH SCHOOL,MI,797,Suburb,Large
397,LAKE REGION UHSD #24,VT,359,Rural,Distant
398,NEWBERG SENIOR HIGH SCHOOL,OR,1593,Town,Fringe
399,EDGEWOOD H S,TX,291,Rural,Distant
400,BLAIR OAKS HIGH,MO,430,Rural,Fringe
401,NICOLET HIGH,WI,1115,Suburb,Large
402,MILTON SENIOR HIGH SCHOOL,VT,492,Town,Fringe
403,HOLLAND PATENT CENTRAL HIGH SCHOOL,NY,477,Rural,Distant
404,DICKINSON H S,TX,2832,Suburb,Mid-size
405,VINTON-SHELLSBURG HIGH SCHOOL,IA,488,Rural,Fringe
406,ATLANTA H S,TX,545,Town,Distant
407,SEQUOYAH HS,OK,450,Rural,Distant
408,BRAVE CENTER ACADEMY,ND,35,Suburb,Small
409,NEW PRAGUE SENIOR HIGH,MN,1276,Town,Distant
410,MENOMONIE HIGH,WI,962,Rural,Fringe
411,HARDIN-JEFFERSON H S,TX,639,Rural,Distant
412,MARLIN H S,TX,220,Town,Distant
413,LOOKEBA-SICKLES HS,OK,86,Rural,Remote
414,KNOXVILLE HIGH SCHOOL,IA,531,Town,Distant
415,VAN HORN HIGH,MO,999,Suburb,Large
416,HUDSON'S BAY HIGH SCHOOL,WA,1228,City,Mid-size
417,SHELBY HIGH SCHOOL,MT,123,Town,Remote
418,WEST SENECA WEST SENIOR HIGH SCHOOL,NY,1202,Suburb,Large
419,PEABODY VETERANS MEMORIAL HIGH,MA,1627,Suburb,Large
420,RED HOOK SENIOR HIGH SCHOOL,NY,647,Town,Fringe
421,HENDERSON H S,TX,950,Town,Distant
422,NATHAN HALE HIGH,WI,1571,City,Small
423,UNIVERSITY CITY HIGH,CA,1813,City,Large
424,SIUSLAW HIGH SCHOOL,OR,437,Town,Remote
425,PLEVNA HIGH SCHOOL,MT,16,Rural,Remote
426,NORTH EUGENE HIGH SCHOOL,OR,911,City,Mid-size
427,LITTLETON HIGH SCHOOL,MA,448,Suburb,Large
428,WEST SPRINGFIELD HIGH,MA,1222,Suburb,Large
429,ALTA LOMA HIGH,CA,2514,Suburb,Large
430,PINE ISLAND SECONDARY,MN,380,Town,Fringe
431,WINNECONNE HIGH,WI,486,Town,Fringe
432,BEAVER DAM HIGH,WI,1042,Town,Distant
433,MARINER HIGH SCHOOL,FL,1546,City,Mid-size
434,MILWAUKIE HIGH SCHOOL,OR,1051,Suburb,Large
435,HOLCOMB HIGH,KS,315,Rural,Distant
436,CONVAL REGIONAL HIGH SCHOOL,NH,786,Rural,Fringe
437,GENEVA HIGH SCH,AL,342,Town,Distant
438,SALINA HS,OK,307,Rural,Distant
439,GILMER HIGH SCHOOL,GA,1217,Town,Distant
440,SAUK RAPIDS-RICE SENIOR HIGH,MN,1301,Rural,Fringe
441,BRADFORD AREA HS,PA,793,Town,Remote
442,NORTHLAND PINES HIGH,WI,407,Rural,Remote
443,MAHOPAC HIGH SCHOOL,NY,1566,Suburb,Large
444,ANACORTES HIGH SCHOOL,WA,787,Town,Fringe
445,LAPINE SENIOR HIGH SCHOOL,OR,424,Rural,Fringe
446,LYNNFIELD HIGH,MA,646,Suburb,Large
447,FAIRVIEW HS,PA,491,Rural,Fringe
448,HOUSATONIC VALLEY REGIONAL HIGH SCHOOL,CT,430,Rural,Distant
449,DANIEL HAND HIGH SCHOOL,CT,1164,Suburb,Large
450,CROSWELL-LEXINGTON HIGH SCHOOL,MI,700,Rural,Fringe
451,HORNELL SENIOR HIGH SCHOOL,NY,545,Town,Remote
452,NORTH FAYETTE HIGH SCHOOL,IA,352,Rural,Remote
453,THORP HIGH,WI,184,Rural,Distant
454,CENTERVILLE HIGH SCHOOL,IA,379,Town,Remote
455,CRESTON HIGH SCHOOL,IA,478,Town,Remote
