school_id,limits,length,inches
126,shorts,shorter than x inches from knee,3
127,skirts,shorter than fingertips,
127,shorts,shorter than fingertips,
128,skirts,shorter than fingertips,
128,shorts,shorter than fingertips,
130,skirts,shorter than mid-thigh,
130,shorts,shorter than mid-thigh,
131,dresses,shorter than fingertips,
131,skirts,shorter than fingertips,
131,shorts,shorter than fingertips,
133,skirts,shorter than mid-thigh,
133,shorts,shorter than x inch inseam,5
134,skirts,shorter than mid-thigh,
134,shorts,shorter than mid-thigh,
135,dresses,shorter than x inches from knee,3
135,skirts,shorter than x inches from knee,3
135,shorts,shorter than x inches from knee,3
137,dresses,shorter than mid-thigh,
137,skirts,shorter than mid-thigh,
137,shorts,shorter than x inch inseam,3
138,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
138,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
138,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
139,skirts,shorter than mid-thigh,
139,shorts,shorter than mid-thigh,
141,dresses,shorter than x inches from knee,4
141,skirts,shorter than x inches from knee,4
141,shorts,shorter than x inches from knee,4
141,jumpers,shorter than x inches from knee,4
143,dresses,shorter than mid-thigh,
143,skirts,shorter than mid-thigh,
143,shorts,shorter than mid-thigh,
145,skirts,shorter than mid-thigh,
145,shorts,shorter than mid-thigh,
147,dresses,shorter than fingertips,
147,skirts,shorter than fingertips,
147,shorts,shorter than fingertips,
148,dresses,shorter than x inches from knee,7
148,skirts,shorter than x inches from knee,7
148,shorts,shorter than x inches from knee,7
149,dresses,shorter than fingertips,
149,skirts,shorter than fingertips,
149,shorts,shorter than fingertips,
150,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
150,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
151,dresses,shorter than fingertips,
151,skirts,shorter than fingertips,
151,shorts,shorter than fingertips,
154,skirts,shorter than mid-thigh,
154,shorts,shorter than mid-thigh,
156,shorts,shorter than mid-thigh,
157,dresses,shorter than x inches from knee,3
157,skirts,shorter than x inches from knee,3
157,shorts,shorter than x inches from knee,3
159,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
159,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
160,dresses,shorter than fingertips,
160,pants,shorter than fingertips,
160,skirts,shorter than fingertips,
160,shorts,shorter than fingertips,
161,skirts,shorter than mid-thigh,
161,skorts,shorter than mid-thigh,
162,dresses,shorter than mid-thigh,
162,skirts,shorter than mid-thigh,
162,shorts,shorter than mid-thigh,
164,dresses,shorter than x inches from knee,length of a dollar bill
164,skirts,shorter than x inches from knee,length of a dollar bill
164,shorts,shorter than x inches from knee,length of a dollar bill
166,skirts,shorter than mid-thigh,
166,shorts,shorter than mid-thigh,
167,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
168,dresses,shorter than mid-thigh,
168,skirts,shorter than mid-thigh,
168,shorts,shorter than mid-thigh,
170,dresses,shorter than mid-hand,
170,shorts,shorter than mid-hand,
172,skirts,shorter than fingertips,
172,shorts,shorter than fingertips,
173,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
173,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
174,dresses,shorter than x inches from knee,2
174,skirts,shorter than x inches from knee,2
174,shorts,shorter than x inches from knee,2
175,skirts,shorter than fingertips,
175,shorts,shorter than fingertips,
177,dresses,shorter than fingertips,
177,skirts,shorter than fingertips,
177,shorts,shorter than fingertips,
177,skorts,shorter than fingertips,
179,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
179,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
179,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
181,skirts,shorter than mid-thigh,
181,shorts,shorter than mid-thigh,
181,skorts,shorter than mid-thigh,
182,dresses,shorter than fingertips,
182,skirts,shorter than fingertips,
183,skirts,shorter than fingertips,
183,shorts,shorter than fingertips,
184,skirts,shorter than fingertips,
184,shorts,shorter than fingertips,
184,skorts,shorter than fingertips,
186,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
186,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
188,skirts,shorter than fingertips,
188,shorts,shorter than fingertips,
190,shorts,shorter than mid-thigh,
192,dresses,shorter than fingertips,
192,skirts,shorter than fingertips,
192,shorts,shorter than fingertips,
193,dresses,shorter than x inches from knee,2
193,skirts,shorter than x inches from knee,2
193,shorts,shorter than x inches from knee,2
194,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
194,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
196,dresses,shorter than mid-thigh,
196,skirts,shorter than mid-thigh,
196,jumpers,shorter than mid-thigh,
197,dresses,shorter than mid-thigh,
197,shorts,shorter than mid-thigh,
199,dresses,shorter than fingertips,
199,skirts,shorter than fingertips,
199,shorts,shorter than fingertips,
199,skorts,shorter than fingertips,
200,dresses,shorter than the width of the palm of the hand from the top of the inseam,
200,skirts,shorter than the width of the palm of the hand from the top of the inseam,
200,shorts,shorter than the width of the palm of the hand from the top of the inseam,
202,shorts,shorter than mid-thigh,
204,skirts,shorter than fingertips,
204,shorts,shorter than fingertips,
205,skirts,shorter than fingertips,
205,shorts,shorter than fingertips,
206,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
206,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
207,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
207,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
207,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
207,tunics,"""short""/""inappropriate length"" (no exact measurement given)",
211,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
211,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
213,dresses,shorter than x inches from knee,4
213,skirts,shorter than x inches from knee,4
213,shorts,shorter than x inches from knee,4
214,dresses,shorter than x inches from knee,6
214,skirts,shorter than x inches from knee,6
214,shorts,shorter than x inches from knee,6
215,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
215,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
216,dresses,shorter than mid-thigh,
216,skirts,shorter than mid-thigh,
216,shorts,shorter than mid-thigh,
217,shorts,shorter than x inches from knee,6
220,dresses,shorter than the knee,
220,skirts,shorter than the knee,
220,shorts,shorter than the knee,
220,skorts,shorter than the knee,
221,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
221,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
222,dresses,shorter than mid-thigh,
222,pants,shorter than mid-thigh,
222,skirts,shorter than mid-thigh,
222,shorts,shorter than mid-thigh,
223,skirts,shorter than fingertips,
223,shorts,shorter than fingertips,
224,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
224,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
227,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
227,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
228,dresses,shorter than mid-thigh,
228,skirts,shorter than mid-thigh,
228,shorts,shorter than x inch inseam,3
229,dresses,shorter than mid-thigh,
229,skirts,shorter than mid-thigh,
229,shorts,shorter than mid-thigh,
230,dresses,shorter than fingertips,
230,skirts,shorter than fingertips,
230,shorts,shorter than fingertips,
231,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
231,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
231,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
233,skirts,shorter than fingertips,
233,shorts,shorter than fingertips,
234,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
234,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
235,dresses,shorter than mid-thigh,
235,skirts,shorter than mid-thigh,
236,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
236,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
237,dresses,shorter than x inches from knee,2
237,skirts,shorter than x inches from knee,
237,shorts,shorter than x inches from knee,
237,jumpers,shorter than x inches from knee,
237,capris,shorter than x inches from knee,
238,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
238,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
239,skirts,shorter than mid-thigh,
239,shorts,shorter than mid-thigh,
240,dresses,shorter than fingertips,
240,skirts,shorter than fingertips,
240,shorts,shorter than fingertips,
240,skorts,shorter than fingertips,
243,skirts,shorter than thumb knuckle,
243,shorts,shorter than thumb knuckle,
245,dresses,shorter than x inches from knee,3
245,skirts,shorter than x inches from knee,3
245,shorts,shorter than x inches from knee,3
247,dresses,shorter than fingertips,
247,skirts,shorter than fingertips,
247,shorts,shorter than fingertips,
249,shorts,shorter than x inches from knee,6
250,skirts,shorter than mid-thigh,
250,shorts,shorter than fingertips,
251,shorts,shorter than x inch inseam,4
252,clothing,shorter than mid-thigh,
253,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
253,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
256,dresses,shorter than x inches from knee,4
256,skirts,shorter than x inches from knee,4
256,shorts,shorter than x inches from knee,4
257,dresses,shorter than the knee,
257,skirts,shorter than the knee,
257,shorts,shorter than x inch inseam,5
258,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
258,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
259,dresses,shorter than fingertips,
259,skirts,shorter than fingertips,
259,shorts,shorter than fingertips,
260,dresses,shorter than fingertips,
260,skirts,shorter than fingertips,
260,shorts,shorter than fingertips,
262,skirts,shorter than x inches from knee,width of dollar bill
262,shorts,shorter than x inches from knee,width of dollar bill
263,skirts,shorter than the knee,
263,shorts,shorter than the knee,
265,dresses,shorter than fingertips,
265,skirts,shorter than fingertips,
266,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
267,dresses,shorter than mid-thigh,
267,skirts,shorter than mid-thigh,
267,shorts,shorter than mid-thigh,
269,skirts,shorter than the knee,
269,shorts,shorter than the knee,
270,skirts,shorter than x inches from knee,5
270,shorts,shorter than x inches from knee,5
271,dresses,shorter than x inches from knee,2
